QTY,MATERIAL,ITEM,SOURCE,PART #,LINK
1,BASALT,BASALT,,,
1,PTFE,BOWDEN TUBE,4mm OD x 2mm ID x 24 inches,,
1,1/2 INCH FLAT STOCK,BACK BOARD,,,
1,1/2 INCH FLAT STOCK,BED,,,
1,1/2 INCH FLAT STOCK,BOTTOM,,,
1,1/2 INCH FLAT STOCK,SIDE SUPPORT (LEFT),,,
1,1/2 INCH FLAT STOCK,SIDE SUPPORT (RIGHT),,,
2,PLA,*OPTIONAL* STRING TENSIONER FOR TUNER,,,
1,PLA,ARM MIRROR (FILAMENT DRIVE),,,
1,PLA,BEARING INSERT (FILAMENT DRIVE),,,
1,PLA,BED BRACKET RIGHT,,,
1,PLA,BED BRACKET RIGHT_MIR,,,
2,PLA,BIG PULLEY,,,
1,PLA,BLOCK MIRROR (FILAMENT DRIVE),,,
1,PLA,BOWDEN NUT,,,
2,PLA,CORNER TAB,,,
2,PLA,EDGE TAB,,,
1,PLA,HUB SCREW,,,
1,PLA,LOCK NUT,,,
4,PLA,PLASTIC WASHER,,,
1,PLA,SPOOL HOLDER,,,
1,PLA,STANDOFF,,,
2,PLA,STRING TENSIONER,,,
1,PLA,WALLY MOUNT (FILAMENT DRIVE),,,
1,PLA,XY FOREARM,,,
2,PLA,XY MOUNT,,,
2,PLA,XY PULLEY,,,
1,PLA,XY UBIS MOUNT ARM,,,
6,PLA,XY WALL ARM,,,
2,PLA,Z ARM WALL BRACKET,,,
1,PLA,Z IDLER,,,
1,PLA,Z IDLER INSERT,,,
1,PLA,Z MOTOR MOUNT,,,
1,PLA,Z PULLEY,,,
1,PLA,Z PULLEY HOLDER,,,
1,SILICONE,HOT BED,http://www.qu-bd.com/,"CIRCULAR 24V SILICONE RUBBER HEATER BED 200MM DIAMETER (8"")",http://store.qu-bd.com/product.php?id_product=59
2,STEEL,*OPTIONAL* TUNING PEG,http://www.amazon.com/,B00BJTGILG,http://amzn.com/B00BJTGILG
28,STEEL,608 BEARING,,,
2,STEEL,6702 BEARING,,,
1,STEEL,HOBBED PULLEY (FILAMENT DRIVE),http://www.qu-bd.com/,MK7 *STAINLESS* FILAMENT DRIVE GEAR,http://store.qu-bd.com/product.php?id_product=142
58,STEEL,M3 NYLOC NUT,,,
27,STEEL,M3X10,,,
1,STEEL,M3X14,,,
46,STEEL,M3x16,,,
9,STEEL,M3X20,,,
4,STEEL,M3X25,,,
2,STEEL,M3X30,,,
6,STEEL,M3X35,,,
2,STEEL,M4 NUT,,,
4,STEEL,M4X12,,,
16,STEEL,M8 NYLOC NUT,,,
13,STEEL,M8 WASHER,,,
1,STEEL,M8X100,,,
4,STEEL,M8X35,,,
6,STEEL,M8X60,,,
3,STEEL,M8X70,,,
2,STEEL,M8X85,,,
2,STEEL,SPRING,http://www.mcmaster.com/,"Steel Compression Spring, Zinc-Plated Music Wire,.500"" L,.187"" OD,.029"" Wire",http://www.mcmaster.com/#9657K268
1,VARIES,ELECTRONICS,http://www.qu-bd.com/,AZTEEG X1 - 'RAMPS ON STEROIDS',http://store.qu-bd.com/product.php?id_product=53
1,VARIES,POWER SUPPLY,http://www.qu-bd.com/,350W POWER SUPPLY 14.6A @ 24V POWER SUPPLY,http://store.qu-bd.com/product.php?id_product=111
4,VARIES,STEPPER,http://www.qu-bd.com/,NEMA 17 STEPPER MOTOR 4.5KG*CM,http://store.qu-bd.com/product.php?id_product=46
4,VARIES,STEPPER DRIVERS,http://www.qu-bd.com/,SURESTEPR SUPER PREMIUM STEPPER DRIVERS,http://store.qu-bd.com/product.php?id_product=55
1,VARIES,UBIS,http://www.qu-bd.com/,ANUBIS 24V HEATER CARTRIDGE KIT,http://store.qu-bd.com/product.php?id_product=137
,,STRING,,,
,,WIRE,,,
